Date,Close,High,Low,Open,Volume,Returns,MA7,MA30,MA50,MA200,Volatility
2023-01-31,23139.283203125,23225.021484375,22765.568359375,22840.796875,22837828665,0.013097316769725253,23144.920479910714,20371.5720703125,18967.943203125,19700.514326171877,0.0237264043383327
2023-02-01,23723.76953125,23764.5390625,22877.75,23137.8359375,26683255504,0.025259482888651652,23231.479073660714,20606.08203125,19086.7922265625,19713.181591796874,0.023814486525442113
2023-02-02,23471.87109375,24167.2109375,23468.595703125,23720.82421875,32066936882,-0.01061797692681965,23294.20675223214,20832.482486979166,19199.916640625,19726.644228515626,0.024068539880402164
2023-02-03,23449.322265625,23678.103515625,23279.955078125,23469.412109375,27083066007,-0.0009606745041729203,23347.14871651786,21052.018619791666,19321.60578125,19731.462392578123,0.0241797793453687
2023-02-04,23331.84765625,23556.94921875,23291.794921875,23446.3203125,15639298538,-0.005009723012217249,23390.114118303572,21268.522330729167,19455.293046875,19731.174462890624,0.024251066844631807
2023-02-05,22955.666015625,23423.435546875,22841.759765625,23332.248046875,19564262605,-0.01612309690031044,23273.128348214286,21468.645572916666,19578.50453125,19729.794130859376,0.024751098401628594
2023-02-06,22760.109375,23119.279296875,22692.025390625,22954.021484375,23825006542,-0.008518883333286542,23261.69559151786,21662.146614583333,19698.5471875,19727.771533203126,0.024925911016251433
2023-02-07,23264.291015625,23310.974609375,22756.2578125,22757.267578125,27187964471,0.022151986720186922,23279.553850446428,21867.9181640625,19835.0394140625,19730.518095703126,0.025017519639026244
2023-02-08,22939.3984375,23367.958984375,22731.09765625,23263.416015625,25371367758,-0.013965290320121615,23167.500837053572,22059.3462890625,19955.7012890625,19732.8876953125,0.02540827429341423
2023-02-09,21819.0390625,22996.4375,21773.974609375,22946.56640625,32572572185,-0.04883996317743455,22931.381975446428,22205.1044921875,20055.7313671875,19728.9370703125,0.027558226164953917
2023-02-10,21651.18359375,21941.185546875,21539.392578125,21819.005859375,27078406594,-0.007693073387383564,22674.505022321428,22328.980729166666,20152.148203125,19730.384482421876,0.02742807400482091
2023-02-11,21870.875,21891.41015625,21618.44921875,21651.841796875,16356226232,0.010146854341645195,22465.79464285714,22429.0236328125,20253.626640625,19733.540087890626,0.02606586700664134
2023-02-12,21788.203125,22060.994140625,21682.828125,21870.90234375,17821046406,-0.003779998514005456,22299.014229910714,22491.644596354166,20352.4355859375,19727.828359375,0.024342100165696347
2023-02-13,21808.1015625,21898.4140625,21460.087890625,21787.0,23918742607,0.0009132665684197239,22163.013113839286,22519.371354166666,20451.757890625,19717.64943359375,0.022413157735324794
2023-02-14,22220.8046875,22293.140625,21632.39453125,21801.822265625,26792596581,0.018924303145655852,22013.94363839286,22564.038216145833,20557.777890625,19709.73029296875,0.02260225350810586
2023-02-15,24307.841796875,24307.841796875,22082.76953125,22220.5859375,32483312909,0.09392266116037784,22209.435546875,22668.645182291668,20709.59125,19712.988466796876,0.028076089296096198
2023-02-16,23623.474609375,25134.1171875,23602.5234375,24307.349609375,39316664596,-0.028154173176657027,22467.212053571428,22750.7103515625,20851.009296875,19714.421357421874,0.02871000008100586
2023-02-17,24565.6015625,24924.041015625,23460.755859375,23621.283203125,41358451255,0.03988096453648349,22883.557477678572,22879.9376953125,21009.4744921875,19720.678369140624,0.028982968773501816
2023-02-18,24641.27734375,24798.8359375,24468.373046875,24565.296875,19625427158,0.0030805588480080637,23279.329241071428,22998.4205078125,21170.2483203125,19728.994169921876,0.02888107992456152
2023-02-19,24327.642578125,25093.0546875,24327.642578125,24640.02734375,25555105670,-0.012728023845912761,23642.106305803572,23053.4568359375,21325.85125,19736.39984375,0.025861363372070293
2023-02-20,24829.1484375,25020.458984375,23927.91015625,24336.623046875,28987376573,0.020614650916729094,24073.684430803572,23121.840950520833,21489.9326171875,19747.39080078125,0.026067467381144523
2023-02-21,24436.353515625,25126.8515625,24200.36328125,24833.048828125,31252098714,-0.01581991113645098,24390.19140625,23179.0388671875,21644.8902734375,19753.12599609375,0.0262803936751068
2023-02-22,24188.84375,24472.33984375,23644.318359375,24437.41796875,30199996781,-0.01012875204423358,24373.19168526786,23220.852604166666,21795.07,19759.263818359374,0.026351745560188364
2023-02-23,23947.4921875,24572.08984375,23693.919921875,24190.71875,30476264066,-0.00997780485063493,24419.479910714286,23264.553385416668,21936.755078125,19763.121826171875,0.02629789089371539
2023-02-24,23198.126953125,24103.705078125,23007.072265625,23946.0078125,26811744928,-0.03129201289670536,24224.126395089286,23267.228971354165,22063.982890625,19760.065029296875,0.02673142503585526
2023-02-25,23175.375,23210.2109375,22861.55859375,23200.125,16100721565,-0.0009807668166905703,24014.711774553572,23271.9822265625,22188.451015625,19760.1203125,0.026721570636072143
2023-02-26,23561.212890625,23654.3671875,23084.220703125,23174.150390625,16644534842,0.016648614774302573,23905.221819196428,23288.0650390625,22320.5737109375,19758.1881640625,0.026882459711000974
2023-02-27,23522.87109375,23857.890625,23205.87890625,23561.451171875,22660763494,-0.0016273269569350157,23718.610770089286,23304.457747395834,22449.2082421875,19756.014873046875,0.026880842919226555
2023-02-28,23147.353515625,23585.384765625,23077.650390625,23521.837890625,20535363434,-0.01596393470118429,23534.467912946428,23283.550651041667,22568.22421875,19749.737548828125,0.026386371673939944
2023-03-01,23646.55078125,23880.6328125,23088.626953125,23150.9296875,24662841200,0.02156606219747892,23456.997488839286,23310.4310546875,22692.229375,19745.8499609375,0.02563412616249806
2023-03-02,23475.466796875,23739.138671875,23245.021484375,23647.01953125,20386398516,-0.007235050302163204,23389.565290178572,23321.637174479165,22803.04078125,19741.630625,0.02558477883109526
2023-03-03,22362.6796875,23479.34765625,22213.23828125,23476.6328125,26062404610,-0.047402129167592566,23270.215680803572,23276.267513020834,22872.9026171875,19732.75916015625,0.026607328301994967
2023-03-04,22353.349609375,22405.177734375,22198.98046875,22362.923828125,11166012913,-0.0004172164631153219,23152.78348214286,23238.983463541666,22921.778125,19725.109453125,0.026553662608482
2023-03-05,22435.513671875,22613.685546875,22307.142578125,22354.14453125,13317001733,0.0036756935285233716,22991.969308035714,23205.18984375,22950.962421875,19720.60703125,0.02656914664398731
2023-03-06,22429.7578125,22584.29296875,22331.314453125,22436.81640625,17353192895,-0.00025655126328649747,22835.81026785714,23175.120182291666,22981.9416015625,19716.69212890625,0.02655943106999587
2023-03-07,22219.76953125,22527.41796875,22011.26171875,22428.322265625,22765452204,-0.00936203961743065,22703.298270089286,23150.590299479165,23002.9443359375,19723.403212890626,0.02645497782298532
2023-03-08,21718.080078125,22268.896484375,21708.05078125,22216.44140625,22536575684,-0.022578517406286358,22427.80245535714,23115.855989583335,23014.075546875,19726.163310546875,0.026720481152682662
2023-03-09,20363.021484375,21802.716796875,20210.306640625,21720.080078125,30364664171,-0.06239311158608585,21983.167410714286,23019.147005208335,23007.5603515625,19720.3078125,0.02856495507670733
2023-03-10,20187.244140625,20370.595703125,19628.25390625,20367.001953125,39578257695,-0.008632183779056501,21672.39090401786,22927.408528645832,22989.569375,19714.2494921875,0.02851761683111098
2023-03-11,20632.41015625,20792.525390625,20068.66015625,20187.876953125,30180288176,0.022051846825845045,21426.542410714286,22887.854231770834,22948.6865234375,19709.771103515624,0.027584043938984473
2023-03-12,22163.94921875,22185.03125,20448.806640625,20628.029296875,29279035521,0.07422977009964415,21387.747488839286,22904.946419270833,22936.4130078125,19713.615751953126,0.030815592373608428
2023-03-13,24197.533203125,24550.837890625,21918.19921875,22156.40625,49466362688,0.09175187888693825,21640.28683035714,22982.501692708334,22965.9553515625,19726.598896484375,0.03495366497032711
2023-03-14,24746.07421875,26514.716796875,24081.18359375,24201.765625,54622230164,0.022669294883089997,22001.1875,23081.097395833334,23002.188203125,19749.029169921876,0.035085259792463255
2023-03-15,24375.9609375,25240.615234375,23964.91015625,24770.92578125,43655701450,-0.014956444322371198,22380.884765625,23166.692708333332,23036.978046875,19770.700283203125,0.035265564205275796
2023-03-16,25052.7890625,25190.326171875,24225.111328125,24373.45703125,33866061747,0.027766213062754286,23050.8515625,23261.0921875,23075.676640625,19797.88015625,0.03542854023391727
2023-03-17,27423.9296875,27787.8125,24955.169921875,25055.123046875,50730261335,0.0946457745317153,24084.66378348214,23364.961783854167,23163.4996875,19833.509833984375,0.03549159736206674
2023-03-18,26965.87890625,27725.953125,26636.26171875,27448.1171875,35723036817,-0.01670259464889101,24989.44503348214,23476.375260416666,23241.2426953125,19869.355185546876,0.03518719829923355
2023-03-19,28038.67578125,28440.560546875,26907.716796875,26969.50390625,37769448859,0.039783493752593824,25828.69168526786,23592.144401041667,23341.3944140625,19909.29974609375,0.03518387123592102
2023-03-20,27767.236328125,28527.724609375,27242.880859375,28041.6015625,44774027664,-0.00968089417783835,26338.649274553572,23696.343033854166,23421.2478125,19947.500224609375,0.03528488982565386
2023-03-21,28175.81640625,28439.5625,27439.646484375,27768.392578125,36102192830,0.014714466837708162,26828.612444196428,23824.615494791666,23527.9613671875,19988.53044921875,0.03517638226713268
2023-03-22,27307.4375,28803.3359375,26759.99609375,28158.720703125,33382021890,-0.030820008681536337,27247.39481026786,23907.225130208335,23611.324453125,20025.907197265624,0.03566388678803675
